IDENTIFIER: Reference ID,FORMULA,Microstructure,Processing method,grain size,Exp. Density,Calculated Density,HV,Type of test,Test temperature,YS,UTS,Elongation,Elongation plastic,Exp. Young modulus,Calculated Young modulus,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Hf,Li,Mg,Mn,Mo,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr,B2,BCC,FCC,Sec.,HCP,L12,Laves,Other,ANNEAL,CAST,OTHER,POWDER,WROUGHT,C_test,T_test
167,Al0.229 Co0.486 Cr0.4 Cu0.229 Fe0.486 Mo0.003 Ni1 Ti0.029 W0.003,,ANNEAL,,,7.7,171,,,,,,,,,0,0.229,0,0,0,0.486,0.4,0.229,0.486,0,0,0,0,0,0.003,0,0,1,0,0,0,0,0,0,0.029,0,0.003,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
175,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,,CAST,,,7.4,343,,,,,,,,,0,0.278,0,0,0,0.694,0.222,0,0.417,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
175,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,,ANNEAL,,,7.4,341,,,,,,,,,0,0.278,0,0,0,0.694,0.222,0,0.417,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
175,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC+L12+Sec.,ANNEAL,,,7.4,345,T,25,568,786,12,,,,0,0.278,0,0,0,0.694,0.222,0,0.417,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1
175,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC+L12+Sec.,ANNEAL,,,7.4,345,T,25,596,1039,20,,,,0,0.278,0,0,0,0.694,0.222,0,0.417,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1
175,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC+L12+Sec.,ANNEAL,,,7.4,345,T,700,487,702,18,,,,0,0.278,0,0,0,0.694,0.222,0,0.417,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1
175,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC+L12+Sec.,ANNEAL,,,7.4,345,T,700,486,624,11,,,,0,0.278,0,0,0,0.694,0.222,0,0.417,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.167,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1
193,Al0.885 Cr1 Fe1 Ni1,BCC+B2,CAST,,,6.4,,C,25,770,,37.1,,,,0,0.885,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
193,Al1 Cr1 Fe1 Ni1,BCC+B2,CAST,,,6.3,,C,25,843.2,,34.6,,,,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
193,Al1 Cr0.889 Fe0.889 Ni0.889,BCC+B2,CAST,,,6.1,,C,25,1044,,27.1,,,,0,1,0,0,0,0,0.889,0,0.889,0,0,0,0,0,0,0,0,0.889,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
193,Al1 Cr0.828 Fe0.828 Ni0.828,BCC+B2,CAST,,,6,,C,25,906.8,,31.4,,,,0,1,0,0,0,0,0.828,0,0.828,0,0,0,0,0,0,0,0,0.828,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
193,Al1 Cr0.767 Fe0.767 Ni0.767,BCC+B2,CAST,,,5.9,,C,25,1122.8,,24.7,,,,0,1,0,0,0,0,0.767,0,0.767,0,0,0,0,0,0,0,0,0.767,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
191,Al0.5 Cr0.5 Fe1 Ni1,BCC+B2,CAST,,,6.9,,C,25,,,17,,,,0,0.5,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
168,Al1 Co1 Cr1 Fe1 Ni1,BCC+B2,CAST,,,6.7,,C,25,,,22.7,,,,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
182,Al0.545 Cr0.545 Fe0.515 Ni1 Ti0.273,BCC+B2+L12,CAST,,,6.4,,C,25,,,16.3,,,,0,0.545,0,0,0,0,0.545,0,0.515,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.273,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0
182,Al0.545 Cr0.545 Fe0.515 Ni1 Ti0.273,BCC+B2+L12,ANNEAL,,,6.4,,C,25,,,19.8,,,,0,0.545,0,0,0,0,0.545,0,0.515,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.273,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0
181,Cr1 Fe1 Ni1 V0.5 W1,FCC+BCC+Sec.,CAST,,,10.9,,C,25,,,7.3,,,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
169,Al0.515 Cr0.515 Cu0.515 Fe0.515 Ni1,FCC+BCC+B2,CAST,,,7.1,,C,25,,,30,,,,0,0.515,0,0,0,0,0.515,0.515,0.515,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0
202,Co1 Cr1 Fe1 Mn1 Ni1,FCC,ANNEAL,,,8,,C,25,230,,75,,,220,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
202,Co1 Cr1 Fe1 Mn1 Ni1 V0.263,FCC+Sec.,ANNEAL,,,7.9,,C,25,200,,75,,,,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.263,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
202,Co1 Cr1 Fe1 Mn1 Ni1 V0.5,FCC+Sec.,ANNEAL,,,7.8,,C,25,620,,75,,,,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
202,Co1 Cr1 Fe1 Mn1 Ni1 V0.765,FCC+Sec.,ANNEAL,,,7.7,,C,25,780,,8,,,,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.765,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
